Metastasis-1	Metastasis-2	Metastasis-3	Metastasis-4	Metastasis-5	Metastasis-6	Metastasis-7	Metastasis-8	Metastasis-9	Metastasis-10	Metastasis-11	Metastasis-12	Metastasis-13	Metastasis-14	Metastasis-15	Metastasis-16	Metastasis-17	Metastasis-18	Metastasis-19	Metastasis-20	Metastasis-21	Metastasis-22	Metastasis-23	Metastasis-24	Metastasis-25	Metastasis-26	Metastasis-27	Metastasis-28	Metastasis-29	Metastasis-30	Metastasis-31	Metastasis-32	Metastasis-33	Metastasis-34	Metastasis-35	Metastasis-36	Metastasis-37	Metastasis-38	Metastasis-39	Metastasis-40	Metastasis-41	Metastasis-42	Metastasis-43	Metastasis-44	Metastasis-45	Metastasis-46	Metastasis-47	Metastasis-48	Metastasis-49	Metastasis-50	Metastasis-51	Metastasis-52	Metastasis-53	Metastasis-54	Metastasis-55	Metastasis-56	Metastasis-57	Metastasis-58	Metastasis-59	Metastasis-60	Metastasis-61	Metastasis-62	Metastasis-63	Metastasis-64	Metastasis-65	Metastasis-66	Metastasis-67	Metastasis-68	Metastasis-69	Metastasis-70	Metastasis-71	Metastasis-72	Metastasis-73	Metastasis-74	Metastasis-75	Metastasis-76	Metastasis-77	Metastasis-78	Metastasis-79	Metastasis-80	Metastasis-81	Metastasis-82	Metastasis-83	Metastasis-84	Metastasis-85	Metastasis-86	Metastasis-87	Metastasis-88	Metastasis-89	Metastasis-90	Metastasis-91	Metastasis-92	Metastasis-93	Metastasis-94	Metastasis-95	Metastasis-96	Metastasis-97	Metastasis-98	Metastasis-99	Metastasis-100	Metastasis-101	Metastasis-102	Metastasis-103	Metastasis-104	Metastasis-105	Metastasis-106	Metastasis-107	Metastasis-108	Metastasis-109	Metastasis-110	Metastasis-111	Metastasis-112
SBS1	0	8.066451	5.77878	1.11143	7.643529	2.461145	6.566378	11.623755	6.754145	6.678635	3.603564	11.545286	6.297871	10.351892	8.301196	10.272985	6.995447	9.428577	13.735891	13.461218	13.609004	8.931927	9.494799	7.38669	5.163996	10.014688	5.780844	9.249855	7.570048	6.833945	8.420264	11.747827	14.783428	11.713963	6.862404	0	8.019052	7.416716	14.675823	11.47861	10.50763	0	3.903744	6.628813	9.312928	11.771137	11.064442	3.215619	6.89793	11.478986	10.575859	3.77403	4.101383	6.373964	3.680904	0	5.102946	2.395258	2.81088	0	0	4.504097	0	14.893696	0	7.412637	5.59768	14.421408	1.45703	8.127219	0	12.355015	0	1.282772	12.687748	0	1.039259	0.985412	12.265315	13.735683	5.421461	5.434878	4.125029	0	11.695147	3.357923	8.60631	0	0	7.371058	0	0	32.398678	0	0	0	6.014394	16.702817	0	0	6.075652	1.55942	0	5.553857	0	1.51225	0.404904	1.214332	0	9.725458	12.456118	0
SBS2	0	0	0	1.475653	0.803266	4.387365	0	0	0	0	4.299986	0	0	0	0	0	0	2.987038	0	0	5.065472	1.771331	0	0	0	0	1.284247	0	0	0	0.531678	0	0	0	0.684464	1.258972	0	1.073005	5.203688	0	0	0	0	0.002553	0	0	0	0	0.201661	0	0	0.656162	0	0	0	0	0	5.035793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075724	0	0	0	0	0	0	0	0	0	2.119594	0	1.713949	0	0	0	0	0	0	0	0	0	0	0	0
SBS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.510045	0	0	27.46076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.450631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS4	0	0	0	0	0	0	0	0	0	0	0	4.083278	0	0	0	0	0	0	0	0	0	0	0	4.319484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.335536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS6	7.049679	5.666464	6.495104	8.12177	10.18276	4.819138	0	0	0	0	1.087269	0	0	0	0	0	0	0	0	4.490188	0	0	5.153839	0	0	0	0	0	0	0	1.674234	0	0	0	9.678925	20.740967	0	0	0	1.491986	0	15.976248	15.138097	8.463872	0	0	0	11.209351	9.670408	1.645504	0	15.540372	1.973869	0	0	7.188558	8.045753	5.159968	10.800911	13.760024	4.758643	1.28614	22.434057	0	28.67894	0	0	0	2.955648	0	9.977985	0	16.226326	0	0	0.35305	0	27.850264	10.565495	0	2.14094	0	0	7.841436	2.157965	0	5.831372	0	0	4.880496	14.979697	53.683811	224.289163	0	25.147382	10.471169	5.97598	0	0	5.969065	0	0	20.702218	0.509197	29.799582	6.702249	5.867471	0	10.806943	0	0	9.815821
SBS7a	161.406506	380.694911	0	0	1.914053	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627848	1.463664	0.821281	1.185685	0	0	0.396066	0	0	0	0	0	0	0.428863	0	0	0	0.882158	0	0	0	0.363063	0.498511	0	0	0	0	0.572943	0	0	0	0.32507	0	0	237.30389	200.298571	0	114.830917	318.433236	11.020617	8.654791	276.820018	176.048976	0.792521	142.673447	629.337613	307.410348	150.969485	100.54445	575.253512	16.125471	3.642128	115.049775	16.514269	627.255085	24.862652	0	68.198937	1004.063186	2031.297808	682.357848	306.519563	163.854997	71.920363	325.251379	121.512718	121.647898	93.578203	0.727353	2.323071	100.073779	129.365642	344.468869	930.087929	306.888673	20.698812	204.642448	193.889569	291.33471	0.431589	210.178683	3.979358	402.884278	88.288642	0	0	922.863099	0	371.24439	73.458299	149.080559	126.356369	221.20129	252.379909
SBS7b	144.679866	349.509204	0	0	0	0	0	0	0	0	0	0	0.289631	2.094065	0	0	0	0	0	2.311344	0	0	0	0	0	0	0.615526	0	0	0	0	0	0	8.256484	0	0	0	0	0	0	0	0	0	0	0	0.717873	0	0	0	0	1.608293	0	192.723178	149.349629	0	90.202828	267.710412	0	0	224.284797	228.776736	4.536154	178.343037	603.968272	169.246155	253.906427	46.787289	269.617752	3.676598	6.143244	89.434855	56.787519	617.61508	11.659939	8.683682	49.85525	1266.482586	925.644196	489.605691	327.786253	182.130122	93.983046	298.513049	163.077614	135.391029	43.874383	3.911032	0	85.580657	115.102912	392.46157	1034.669141	364.54347	27.496799	256.936942	204.997653	204.495983	8.405665	140.2225	0	377.51356	92.283898	0	0	796.487051	0.968297	225.549819	47.549887	121.569366	157.599445	146.097402	146.441734
SBS7c	0	0	0	0	1.545939	0	2.333339	0	0	2.210769	1.014093	0.09612	0	0	0	2.238168	0	1.084728	0	0.491291	0.797262	0	0	0	0.764813	2.175636	2.156108	0	2.022981	0	0	0	0	0	0	0	2.328674	2.401148	1.614619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.112803	0	0	0	0	0	0	0	0	1.095107	0	0	0	0	0	0	0	1.464995	0	4.334643	0	0	0	0	0	0	1.270834	1.932798	0	0	0	0	0	0	0	0	0	0	0	0	0.5633	0.199426	0	0	0	0	0	24.521331	0	0	0	1.958796	0	12.313767	3.931082
SBS7d	0	0	0	0.224965	0	0	0	0	0	0	0.108074	0	0	0	0	2.414667	0	2.297721	0	0	1.853267	0	0.395573	0	0	2.731968	2.768644	0	0	0	0	0	0	0	1.306533	0	0	0	1.559261	0	0	0	0	0	0	0.036323	0	0.393272	4.228252	0	0	0.261746	0	0	0	0	0	0	3.610799	0	4.124431	0	0	0	0	0	0	0	0	0	0	7.951394	0	0	0.02902	0	0	0	17.379753	0	8.399566	0	0	0	0	0	0	0	12.898262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004834	0	0	0	0	9.012854	1.438438	0	0
SBS8	0	0	0	0	0	0	0	0	0	0	0	5.866935	5.955124	7.440964	7.30707	0	0	0	19.658175	25.428232	1.692862	0	0	5.609403	0	0	0	0	3.290193	0	0	0	19.941303	31.551527	0	0	0.872254	0	1.814235	0	0	0	0	0	0	13.277351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.515785	0	0	0	0	0	0	0	0	0
SBS9	0	0	0	0	0	0	0	0	0.582268	0	0	0	0	0	0	0	1.363102	0	0	0	0	0	0	0	0	0	0	0.032974	0	0.610686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS10a	0	0	0.20789	0	0	0.453631	0	0	0	0	0	1.678231	1.402926	1.405315	1.354917	0	0	0	0	0	0	0	0.320113	0.946394	0	0	0	0	0	0	0	0	0	0	0	0.410317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.745169	0	0	0	0	0	0	0	0	0.776799	0	0	0	0	0	0	0.557975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42677	0	0	0	0.038409	0	0	0	0	0	0	0	0
SBS10b	45.341999	117.117089	3.740396	6.178983	8.499013	3.038576	0	4.780095	0	1.721955	1.382872	1.211863	3.606644	2.529899	3.097374	0	1.594	1.74649	0	1.264936	3.23315	3.001361	3.31918	5.544238	0	0	0	2.958843	4.586293	0	9.318267	4.937442	0	1.0781	3.623004	0	0	0	0	4.143696	4.263534	3.534453	2.811602	3.317336	5.836193	0	7.408625	5.70807	1.72794	4.09695	4.011419	2.833168	23.47307	28.804745	0	39.920763	88.891972	0	0	76.598615	39.81555	0	41.230654	179.800419	82.914266	20.259738	5.085319	129.163899	0	2.799051	41.246468	9.695132	142.653661	3.075136	1.313451	22.19995	159.86884	373.859456	105.158786	91.961076	34.896033	1.898395	42.379985	11.606884	38.66499	43.635797	1.20238	0	0	50.70672	65.131464	149.467477	46.010929	0	47.330856	18.79592	5.26189	1.466311	56.715418	0	96.52651	34.62203	0	0	268.83505	0.779851	25.29185	0	24.553067	32.191689	40.259902	38.751974
