Primary-1	Primary-2	Primary-3	Primary-4	Primary-5	Primary-6	Primary-7	Primary-8	Primary-9	Primary-10	Primary-11	Primary-12	Primary-13	Primary-14	Primary-15	Primary-16	Primary-17	Primary-18	Primary-19	Primary-20	Primary-21	Primary-22	Primary-23	Primary-24	Primary-25	Primary-26	Primary-27	Primary-28	Primary-29	Primary-30	Primary-31	Primary-32	Primary-33	Primary-34	Primary-35	Primary-36	Primary-37	Primary-38	Primary-39	Primary-40	Primary-41	Primary-42	Primary-43	Primary-44	Primary-45	Primary-46	Primary-47	Primary-48	Primary-49	Primary-50	Primary-51	Primary-52	Primary-53	Primary-54	Primary-55	Primary-56	Primary-57	Primary-58	Primary-59	Primary-60	Primary-61	Primary-62	Primary-63	Primary-64	Primary-65	Primary-66	Primary-67	Primary-68	Primary-69	Primary-70	Primary-71	Primary-72	Primary-73	Primary-74	Primary-75	Primary-76	Primary-77	Primary-78	Primary-79	Primary-80	Primary-81	Primary-82	Primary-83	Primary-84	Primary-85	Primary-86	Primary-87	Primary-88	Primary-89	Primary-90	Primary-91	Primary-92	Primary-93	Primary-94	Primary-95	Primary-96	Primary-97	Primary-98	Primary-99	Primary-100
SBS1	4.526567	0	0	1.243938	15.682107	0	0	5.71527	17.708665	0	0	0	0.724178	0	9.134559	3.528736	5.917151	37.717457	9.045951	6.55082	0.010613	0	0	4.389874	3.829575	0	0	0	0.063311	12.31218	7.707183	0	2.800576	14.00721	0	1.19704	0	0.558064	11.481207	2.299027	160.505632	13.619005	3.018267	19.566236	1.843318	0	0	3.23758	1.903423	36.929485	0	14.620512	0	9.479754	30.311301	6.310766	4.899221	0.933945	0	1.252167	0.024021	1.567193	1.009986	0	2.814053	13.255825	3.421657	0	3.16672	0.860687	4.501846	0	2.254429	0	0	20.306935	5.217858	18.189825	5.358119	4.503572	1.236062	3.466354	1.134336	0	0	1.118497	0	36.83645	5.247922	9.792606	0.939281	5.112875	6.059475	0	8.328332	2.937507	0	0	0	6.251191
SBS2	0.094322	0	2.112035	0	0	0.65094	0	0	0	0.314062	0	0	0	0	0.20539	0	2.083229	0	0	8.151782	0.186986	0	0	1.744521	0	0	0	0	0.365416	0.163138	0.683905	0	0.641182	0	0	0	0	0	0	2.111438	0	0	0	0.698699	0	1.504126	0	0	0	0	0	2.370488	0	0	0	0	0	0	0	0	0	0	0.170723	0	0	0.215928	0	1.008998	0	1.944117	0.242317	0	1.991903	0	0	0	0	0	1.741316	1.158939	2.40537	0	0	0	0	0	0	15.108243	0.569349	0	2.375162	0	1.233728	0	0	0	0	0	0	0
SBS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.813247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.267101	0	0	0	0	0	0	0	0	1.826966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.592964	0	0	4.905148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS6	2.273243	0	0	0	5.194684	7.046084	3.29961	0	0	0	0	0	2.806486	0	0	3.179591	0	1.971606	0	6.207219	1.73305	0	0	11.367398	0	4.500609	4.688837	0	0	9.707341	0	0	0	0	0.257202	7.463895	5.94896	0	0	0	271.241934	0	0	6.284405	0	0	0	0	0.869896	0	14.099477	0	0	0	13.789338	0	0	0	1.199804	10.133704	0	3.71201	0	0	1.749061	0	9.339541	0	0	0	0.030046	4.215089	0.123441	0	1.076939	0	0	0	0	4.806079	0	0	2.570463	0	0	0	0	0	0	0	3.21785	0.855272	0	0	0	0	0	0	4.212048	5.802967
SBS7a	2.618892	0	0	0	0	0	0	0	15.279715	0	0	0	0	0	0	0	0	0	0	8.112633	0	0	2.235352	0	0	0	2.835218	0.912162	0	0	0	0	0	0	0	14.038771	1.377567	0	0	0	7.564051	3.065974	0	0	2.914903	0	0	0	0.57804	0	0	0	0	0.061377	0	1.717049	0.905835	0	0	3.290042	4.203368	0	2.068111	0	0	0.964797	0	2.318919	0	0	0.858455	0	0.778013	0	1.171421	4.711527	0	0.67598	0	0	0	0	0	0	0	0	0	59.017678	0	3.76036	0	0.35109	3.345936	8.78133	3.909431	0	0	0	0	0
SBS7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.663684	0	0	0	0	3.623576	0	2.218104	0	2.125734	0	0	0	0	0	0	0	0	0	5.138244	11.852453	0	5.177179	3.420123	0	0	0	0	1.286324	7.653607	0	0	0.82209	0	0.515288	1.500735	0.259681	0	0	0	0	0	0	0	0	0	1.354887	0	0.743449	0	0	0	0	0	0.183124	0	0	4.198269	0	3.809159	0	0	0	0	0	0	0	0	0	0	0	0	0	1.998859	0.409137	0	0	0	0	0
SBS7c	0	0	0	0	0	0	0	0	3.005982	0	0	0	0	0	0	0	0	0	0	0	0	0.033173	0	0	8.470488	0	0	2.450598	0	1.636729	0	0	0	0.669954	0	1.295375	0	0	0	0	0	1.232033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90987	0	0	0	0	0	0	0	0	0	0.3365	0	0	0	0	0	0	0	1.744457	0	0	0	0	0	0	0	0	0	0	0	0	0.996141	0	0	0	0	0	0	1.173782
SBS7d	0	0	0	1.470448	2.737796	0	0	0	0	0	1.744174	0	0.883252	0	0	0	0.424373	0	0	0.632101	1.19377	0	1.162767	3.301455	0	0	0	0	0	0.645787	0.283966	3.680013	0	0.816576	0	0	1.198414	0	0	0	0	0.990184	0.264421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.843073	0	0	0.804113	0	0	0	0	0	1.299786	0	0	0	0	0	0.511606	0	1.779942	0	0	0	0	0	1.79088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.256233	0
